artist	track	wks	t10	pk_rank	pk_streams	total_streams
Mỹ Tâm	Anh Chưa Biết Đâu	6	0	32	103760	446329
Sabrina Carpenter	Taste	3	0	135	164065	446307
Wren Evans	Gặp May	7	0	41	106200	446204
NMIXX	O.O	8	0	70	73315	444679
Nicki Minaj	Super Freaky Girl	8	0	118	60538	443613
Zedd	Happy Now	37	2	6	26829	442578
Double2T	Chài Điếp Noọng - Anh Yêu Em	3	0	62	186025	442445
Red Velvet - IRENE & SEULGI	Monster	10	0	14	104305	442214
Kygo	Lose Somebody	14	0	50	45819	442146
Hoài Lâm	Hoa Nở Không Màu (Acoustic Version)	17	0	86	34057	442092
EVERGLOW	DUN DUN	12	0	20	67111	441630
Stephanie Poetri	Do You Love Me	20	0	130	26731	440584
Tự Long	Chợt Nghe Bước Em Về	3	0	118	176246	440074
"ANH TRAI ""SAY HI"""	SOS	3	0	139	160603	438925
ITZY	In the morning	8	0	44	101069	438462
B.I	BTBT	7	0	47	92356	437295
LE SSERAFIM	CRAZY	3	0	128	173082	437213
Kali Uchis	telepatía	10	0	67	57584	437051
Ed Sheeran	Perfect Duet (Ed Sheeran & Beyoncé)	52	0	38	24379	436251
aespa	Hold On Tight	3	0	59	167594	435379
V	Winter Bear	2	0	27	259012	435222
JEON SOMI	BIRTHDAY	16	0	15	42505	435005
buitruonglinh	Lựa Chọn Của Em	3	0	121	158123	433338
Anh Tú	Hoàng Hôn Nhớ - Hoa Vương Original SoundTrack	3	0	100	164981	433221
Mỹ Tâm	Co Ay La Ai (Who Is She)	49	0	23	26759	432768
Lynk Lee	Tát Nước Đầu Đình	13	0	144	37168	430510
CHOCO	Người Yêu Không Đá	8	0	63	80831	430497
V	Scenery	2	0	28	254066	429927
BLACKPINK	BOOMBAYAH - KR Ver.	42	0	69	32744	428726
Tate McRae	you broke me first	16	0	125	30946	426796
Post Malone	One Right Now	7	0	44	83233	426131
NewJeans	ASAP	3	0	37	220503	425547
Imagine Dragons	Thunder	58	0	82	13510	424272
LeeHi	NO ONE	17	0	15	43950	423126
Mỹ Tâm	Anh Chua Tung Biet	46	0	20	27275	422634
DJ Snake	Taki Taki	35	3	9	19654	422082
Jason Mraz	I'm Yours	55	0	71	14334	421649
RAP VIỆT	Thanh Âm Miền Núi	4	0	122	113662	420374
"ANH TRAI ""SAY HI"""	SÓNG VỖ VỠ BỜ	3	0	132	148223	419140
hooligan.	In The Rain	10	0	86	50642	418616
HuyR	Anh Thanh Niên	15	0	53	40857	417201
Phan Mạnh Quỳnh	Gặp Gỡ, Yêu Đương Và Được Bên Em	7	0	22	101899	416380
"ANH TRAI ""SAY HI"""	DON'T CARE	3	0	130	158581	416278
DaBaby	ROCKSTAR	17	0	100	28415	415680
"ANH TRAI ""SAY HI"""	THI SĨ	3	0	137	149494	415646
Hoàng Thùy Linh	Hạ Phỏm	5	0	61	98855	415353
Lauv	Mean It	13	0	41	42382	415018
Taylor Swift	Wildest Dreams (Taylor's Version)	6	0	25	110338	414964
Chi Xê	Seenderella	3	0	149	152594	414867
MIN	Hôn Anh	7	0	160	65719	411266
BTS	Lights	14	0	13	65200	410372
The Weeknd	In Your Eyes	11	0	24	61167	409938
ERIK	Sau Tat Ca. - Original	26	0	101	21100	409827
gnash	i hate u, i love u	37	0	157	15001	409750
Uyên Linh	Mùa Đông Chưa Bao Giờ Tới	10	0	67	58103	408941
MOMOLAND	BBoom BBoom	32	0	14	24139	408670
Ngọt	Em Dạo Này	40	0	25	20523	408379
RAP VIỆT	101520	7	0	47	83526	408278
V	Snow Flower	2	0	32	246592	408089
24k.Right	Một Nửa Sự Thật	2	0	119	237076	407720
Arcane	Ma Meilleure Ennemie - from the series Arcane League of Legends	2	0	108	239762	407213
Shawn Mendes	Wonder	9	0	38	63861	405422
JanK x N2L	Gió - Official	4	0	105	117648	405385
Văn Mai Hương	Đốt	10	0	26	72381	403527
Doja Cat	Like That	16	0	83	31255	403018
Martin Garrix	Ocean	36	3	7	27120	402668
Skylar Grey	Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version	14	6	1	54176	402389
Changg	Hướng Dương	10	0	78	59320	402297
Lauv	Feelings	17	0	61	30680	401768
Mark Ronson	Find U Again	16	0	25	36451	401610
Dua Lipa	We're Good	9	0	60	51698	399551
10CM	Tell Me It's Not a Dream	3	0	150	142498	399314
JEON SOMI	DUMB DUMB	10	0	63	55871	397989
Younha	WINTER FLOWER(Feat.RM)	11	0	21	68523	397613
Mr.Siro	Tự Lau Nước Mắt	4	0	138	109542	397254
BTS	Like	5	1	10	172907	396819
NewJeans	ETA	3	0	48	195075	395384
Taylor Swift	Enchanted	4	0	109	117687	394830
AMEE	Beautiful nightmare (interlude)	2	0	71	251200	394124
Taylor Swift	Look What You Made Me Do	46	0	74	14475	393651
Miina	BUỒN không thể BUÔNG (Piano Version)	8	0	104	56921	392862
Trung Quân	Trót Yêu	38	0	120	15906	391594
K/DA	THE BADDEST	8	0	22	94306	389316
Wxrdie	29	2	0	113	215484	388885
Martin Garrix	Summer Days	17	0	37	29204	388676
Khoi Vu	OVER	3	0	157	138245	387720
Jax	Like My Father	10	0	77	50949	386829
Đen	Đưa Nhau Đi Trốn - Chill Version	5	0	173	114290	385789
aespa	Dreams Come True	8	0	60	70817	384768
RM	moonchild	6	1	4	295992	381504
BABYMONSTER	DRIP	2	0	119	202086	379619
Taylor Swift	Maroon	3	0	18	208003	379519
Walk off the Earth	Bet On Me	9	0	132	51205	379259
Taylor Swift	I Can Do It With a Broken Heart	2	0	66	234278	378641
BTS	Run	3	0	59	247544	377139
Adele	Make You Feel My Love	57	0	119	11597	376787
CAPTAIN BOY	Quên Dần Quên	3	0	154	135900	376381
Lost Frequencies	Reality	40	0	28	14659	375049
Hailee Steinfeld	Let Me Go	48	0	63	16741	374860
RAP VIỆT	Ổn Không, Brô	3	0	75	146787	373101
RM	Yun	2	1	9	270402	372910
XXXTENTACION	changes	29	0	48	18905	372742
Quang Hùng MasterD	Dễ Đến Dễ Đi	11	0	130	40054	371886
Shiki	Perfect	2	0	133	207104	371673
ITZY	Not Shy	10	0	27	76193	371583
Phuc Du	Replay trên con Guây	4	0	70	111936	371220
MIN	Em Mới Là Người Yêu Anh (Acoustic Version)	27	0	22	25301	370648
Harry Styles	Adore You	16	0	50	38634	370124
Billie Eilish	No Time To Die	6	1	7	96281	369611
Wxrdie	Thèn Chóa	2	0	136	196045	369298
Osad	Người Âm Phủ	25	1	4	26926	368247
RM	Hectic	2	1	10	265622	367764
Taylor Swift	Love Story (Taylor’s Version)	9	0	43	67987	367430
BTS	Intro: Serendipity	7	0	78	112997	365326
RAP VIỆT	M.A.Y	9	0	53	59999	364307
RAP VIỆT	Nơi Ta Sống	3	0	83	145791	363892
Kimmese	Loving You Sunny	25	0	104	23221	363826
Freak D	Bỏ Em Vào Balo - Lofi	7	0	84	63879	362166
RM	All Day	2	0	13	260074	361934
Post Malone	Wow.	23	0	12	22508	361431
HONNE	no song without you	11	0	65	40727	361347
BTS	134340	14	1	7	138405	360491
RM	Change pt.2	2	0	14	258649	359401
Khói	Nhớ Người Hay Nhớ	10	0	104	44837	359390
Red Velvet	Queendom	7	0	28	91257	358414
Ariana Grande	Last Christmas	8	0	156	65218	358349
Olivia Rodrigo	traitor	11	0	88	52758	357063
Hoàng Thùy Linh	Outro	10	1	10	95903	355787
RAP VIỆT	Bet On Us	3	0	89	136887	355663
Taylor Swift	You're On Your Own, Kid	3	0	21	192178	354909
buitruonglinh	Đường Tôi Chở Em Về (Cukak Remix)	8	0	59	64407	352262
Chuột Sấm Sét	đôi mình	3	0	162	130332	351722
Trash Dee	wo ai ni - orei Remix	4	0	176	92227	351459
RM	Forg_tful	2	0	15	252834	350913
JustaTee	Thang Dien	9	9	2	52117	350681
RM	No.2	2	0	17	249521	349474
RAP VIỆT	What Love Is…	6	0	35	101081	349309
Agust D	Snooze	2	0	34	236013	349192
The Weeknd	Call Out My Name	15	3	3	46478	348387
Ngọt	03 Hay Là	2	0	63	227833	347695
Phùng Khánh Linh	năm ngoái giờ này (after all)	6	0	120	68927	347594
NewJeans	Bubble Gum	2	0	70	202326	347135
BLACKPINK	PLAYING WITH FIRE - KR Ver.	39	0	84	27934	346245
j-hope	= (Equal Sign)	4	0	18	176651	346081
Raiden	Yours	10	0	115	39427	345066
Hoàng Thùy Linh	Lúc Thấy Lúc Không	4	0	23	145807	344288
Shawn Mendes	Teach Me How To Love	7	0	42	79557	343264
Vũ Cát Tường	Em Ơi	4	0	125	130086	342727
Lil Nas X	Panini	16	0	41	32556	342064
BTS	Airplane pt.2	22	3	5	71733	341262
Ariana Grande	God is a woman	31	4	3	34027	340856
Hoàng Duyên	Chàng Trai Sơ Mi Hồng	8	0	77	54530	340447
Obito	Đầu Đường Xó Chợ	2	0	133	191722	339893
Mỹ Tâm	Chuyen Buon	37	0	23	25411	339832
2T	Cưới Đi	12	0	151	32785	337883
Marshmello	Leave Before You Love Me	10	0	106	46782	337649
Kali Uchis	Moonlight	4	0	164	90562	337290
Andree Right Hand	CLME	4	0	178	86814	337195
IVE	Supernova Love	2	0	139	178839	336951
Karik	Nhật Ký Vào Đời	2	0	75	203041	336804
Demi Lovato	Cool for the Summer	6	0	61	78885	336436
Sơn Tùng M-TP	Chúng Ta Không Thuộc Về Nhau	19	0	60	171030	336125
Destiny Rogers	Tomboy	10	0	122	39500	336016
Ariana Grande	don't wanna break up again	2	0	95	193427	335090
XXXTENTACION	SAD!	43	0	16	18570	333953
One Direction	Night Changes	2	0	160	170884	333155
RAP VIỆT	Không Thầy Đố Mày Làm Nên	6	0	42	76550	332084
Mỹ Tâm	Mong Cho Anh	42	0	36	19890	331370
Finn Askew	Roses	9	0	93	44116	331075
tlinh	Em Là Châu Báu	10	0	106	42832	330950
j-hope	Music Box : Reflection	4	0	22	164069	330112
TLDK	Cho Toi Lang Thang	26	0	41	17300	329917
ERIK	Sau Tat Ca - Original	42	0	53	11050	329711
RM	Closer	2	0	20	235448	329532
AMEE	xuân, hạ, thu, đông rồi lại xuân	8	0	15	91969	329246
Jimin	With You - Instrumental	4	0	29	123908	328288
MAX	Blueberry Eyes	11	0	66	40311	328234
Selena Gomez	Look At Her Now	12	0	22	60132	328181
Anh Tú Atus	Bài này không để đi diễn	5	0	101	84191	327744
BTS	Not Today	3	1	9	264992	325574
Hứa Kim Tuyền	Một Ngày Tôi Quên Hết	6	0	73	71829	325516
ENHYPEN	XO (Only If You Say Yes)	2	0	103	185293	325515
347aidan	Dancing in My Room	10	0	123	37650	323660
AMEE	ex’s hate me, Pt.2	2	0	80	193217	322745
aespa	UP - KARINA Solo	2	0	160	163189	322642
BTS	Dynamite - Instrumental	7	0	17	108152	322617
j-hope	Pandora's Box	3	0	13	187739	320802
Taylor Swift	Love Story	15	0	147	24657	319767
Tăng Duy Tân	Ikigai	2	0	157	166678	318745
Troye Sivan	Strawberries & Cigarettes	25	1	9	38361	318082
Jin	Tonight	3	0	24	181569	316656
Zedd	365	15	2	4	49873	316455
Thắng	Hình Trái Tim	4	0	92	105325	316445
JGKiD (Da LAB)	CILU	9	0	86	50916	316276
Tiên Tiên	Câu Trả Lời	15	0	39	34764	316147
Hoàng Thùy Linh	Bắt Vía	4	0	31	130369	314784
Chillies	Bao Nhiêu	5	0	49	91136	314488
Travis Scott	HIGHEST IN THE ROOM	12	0	36	40894	312996
Jin	Abyss	3	0	25	178226	312952
Ngọt	Em Trang Trí	5	0	69	85910	312626
WEAN	AI BIET	12	0	101	34160	310631
Marshmello	Here With Me	17	0	24	27276	310584
tlinh	người đẹp ngủ	2	0	64	190834	309797
Hoàng Thùy Linh	Trưởng Nữ Chạy Trốn	4	0	35	126918	309503
Agust D	SDL	2	0	46	208068	309336
Wiz Khalifa	See You Again	26	0	135	96211	309161
Agust D	Polar Night	2	0	49	203618	308842
Huỳnh Thanh Kiệt	Miên Man	1	0	20	308637	308637
Charlie Puth	I Don’t Think That I Like Her	4	0	86	90437	307874
Nguyễn Trọng Tài	Hong Kong 1 (RnB Version)	23	0	73	22819	307505
Rhymastic	Nụ Cười	14	0	100	29530	306823
TRANG	I Don't Wanna Miss You	9	0	34	62836	306050
T.R.I	Cuộc Gọi Cuối	6	0	85	67114	305604
aespa	Girls	4	0	34	125763	305553
Sơn Tùng M-TP	Chạy Ngay Đi (Sky Tour 2019)	6	0	15	80015	305200
Jack Harlow	First Class	6	0	96	63521	303942
Taylor Swift	The Tortured Poets Department	1	0	40	303895	303895
Melo-D	Just Say Hello	3	0	91	123723	303868
Harry Styles	Lights Up	8	0	24	50232	303309
demxntia	tonight	10	0	157	50948	303291
Adele	Oh My God	3	0	14	155260	302244
Khalid	Saturday Nights	23	0	19	20013	301706
NewJeans	Get Up	2	0	49	194520	298500
Sơn Tùng M-TP	Như Ngày Hôm Qua	11	0	139	37948	298074
Jonas Blue	Rise	29	0	14	20883	297757
TRANG	Bài Hát Của Em	29	0	59	20455	297441
Sam Smith	To Die For	7	0	41	61217	297154
Obito	Biên Giới Long Bình	2	0	73	175860	296445
Billie Eilish	my future	5	0	15	98496	295508
Hà Anh Tuấn	Tháng 4 Là Lời Nói Dối Của Em - Live Version	8	0	156	37250	290706
Hoàng Dũng	Chờ Anh Nhé	10	0	160	32304	290165
W/N	3 1 0 7 7 - W/N ft. ( titie, Duongg )	5	0	108	87216	289938
TWICE	Alcohol-Free	6	0	41	88056	289890
TOMORROW X TOGETHER	Deja Vu	2	0	128	162689	289847
Alan Walker	Alone, Pt. II	10	0	50	39589	288707
Phuc Du	Đừng Gọi Anh Dậy	5	0	44	88340	288669
BLACKPINK	FOREVER YOUNG - KR Ver.	30	0	11	22135	288206
Madison Beer	Reckless	7	0	139	62172	288123
Bùi Anh Tuấn	Nơi Tình Yêu Kết Thúc	2	0	135	157206	287997
j-hope	STOP	3	0	20	168490	287109
Taylor Swift	Lover (Remix)	8	0	15	63010	286984
Híu	Matchanah	7	0	88	50283	286882
Agust D	Interlude : Dawn	2	0	55	192097	286790
Alan Walker	Diamond Heart	28	1	8	18121	286243
Vũ.	Tâm Sự Của Ta	24	0	21	17052	285945
Charlie Puth	Done for Me	28	0	11	40074	285515
Đen	FRIENDSHIP	2	0	111	165295	285476
Việt Anh	Trước Khi Em Tồn Tại	2	0	71	154835	285364
Hoàng Thùy Linh	Miền Đất Hứa	2	0	104	163945	284763
Jin	I will come to you	1	0	68	284550	284550
Drake	In My Feelings	20	4	5	28403	284541
Taylor Swift	Wildest Dreams	12	0	75	32024	284363
BTS	Permission to Dance (Instrumental)	6	0	36	95734	284198
Avicii	The Nights	13	0	16	29981	283713
Zara Larsson	Ruin My Life	22	0	15	22634	283392
CHROMANCE	Wrap Me In Plastic - Marcus Layton Radio Edit	14	0	158	22372	283277
Taylor Swift	My Boy Only Breaks His Favorite Toys	1	0	50	282904	282904
j-hope	Intro	3	0	21	166060	281529
Minh Nhựt	Phonecert	1	0	75	281112	281112
Unknown Artist	Có Chàng Trai Viết Lên Cây	4	3	5	105959	280657
IU	LILAC	3	0	23	127512	279905
Đông Nhi	Đôi Mi Em Đang U Sầu	3	0	48	103658	279358
Avicii	SOS	11	0	18	38829	279299
BTS	Anpanman	20	2	8	61919	278510
Taylor Swift	The Archer	9	0	20	57089	278461
Charlie Puth	How Long	32	0	33	23019	278358
Anh Phan	Tam Giác	5	0	59	83739	278114
(G)I-DLE	LION	13	0	53	36250	276521
Fujii Kaze	まつり	2	0	63	142891	276421
Pop Smoke	What You Know Bout Love	9	0	99	37200	275701
Agust D	Agust D	2	0	53	187386	275364
Kep1er	WA DA DA	7	0	138	45033	274900
Martin Garrix	Scared to Be Lonely	35	0	110	14351	274266
Jimin	Interlude : Showtime	1	0	55	273939	273939
Zedd	Good Thing	10	0	44	38555	272877
Taylor Swift	Question...?	2	0	24	176641	272774
16 Typh	Million Dollar Boy	4	0	80	81085	272316
Why Don't We	Big Plans	20	0	55	19780	271749
j-hope	Future	3	0	25	158435	270956
Camila Cabello	Never Be the Same	32	0	23	31217	270910
j-hope	Safety Zone	3	0	24	159235	270247
Imagine Dragons	Natural	27	0	17	17173	269834
aespa	Illusion	5	0	83	69028	269573
j-hope	What if…	3	0	23	159505	269095
TWICE	MOONLIGHT SUNRISE	3	0	58	112257	268989
Taylor Swift	So Long, London	1	0	53	267591	267591
tlinh	đừng làm nó phức tạp	2	0	112	166639	267509
Obito	Xuất Phát Điểm	2	0	92	163011	267379
Trịnh Thăng Bình	Người Ấy	17	0	135	20622	267022
B Ray	Ghệ Mới	1	0	87	266909	266909
BLACKPINK	Kick It	12	1	3	66013	266572
王宇宙Leto	若月亮没来（若是月亮还没来）	2	0	159	139843	266197
TOMORROW X TOGETHER	Good Boy Gone Bad	4	0	51	95863	266009
Taylor Swift	Is It Over Now? (Taylor's Version) (From The Vault)	2	0	125	139919	265616
Tăng Duy Tân	Dạ Vũ	7	0	174	43996	264688
Mỹ Tâm	Doi La Giac Mo (Nhac Phim Chi Tro Ly Cua Anh)	20	0	17	24223	264078
BTS	Fire	4	0	36	98154	263227
Red Velvet	Zimzalabim	10	0	19	46575	262809
Taylor Swift	Vigilante Shit	2	0	26	169829	262709
Vũ.	Do Ai?	14	0	45	26742	261844
Binz	Luật rừng	4	0	88	75362	261428
Maroon 5	What Lovers Do	42	0	96	12864	261277
MIN	Tìm (Lost)	24	0	65	20827	260975
Khalid	Young Dumb & Broke	34	0	119	11521	259092
Billie Eilish	all the good girls go to hell	17	0	44	20443	258132
The Weeknd	Sacrifice	3	0	34	104315	257840
Passenger	Let Her Go	40	0	97	12972	257765
IVE	HEYA	2	0	157	138488	257578
Tăng Duy Tân	Phải Lòng	4	0	83	74052	257076
Rihanna	Lift Me Up	3	0	54	115896	256065
Landon Austin	Send My Love / Sit Still, Look Pretty (Acoustic Mashup)	11	0	137	25198	254399
Khalid	Love Lies	19	0	18	32281	254009
Linh Thộn	Cháu Xin Lỗi Chú	7	0	109	42999	253627
MIN	Vì Yêu Cứ Đâm Đầu	3	0	150	91326	252987
K/DA	MORE	5	0	34	80177	251888
Ed Sheeran	Best Part of Me	11	0	23	47050	251840
JISOO	Your Love	1	0	99	251666	251666
Stray Kids	Christmas EveL	5	0	93	58591	251519
ITZY	LOCO	4	0	42	83985	251413
Y2K	Lalala	13	0	72	24017	250601
YOARI	TRUE	2	0	167	130539	250308
Trungg I.U	Thuyền Không Bến Đợi	2	0	182	129319	250220
Lana Del Rey	Young And Beautiful	2	0	181	127569	250027
EXO	Cream Soda	2	0	84	138272	249920
Bebe Rexha	Meant to Be	35	0	67	16301	249698
Ava Max	OMG What's Happening	8	0	61	41562	249534
Hoàng Dũng	tình em là đại dương	5	0	109	58975	249298
Thái Đinh	Cố Thức Đến Mùa Cây Thay Lá	8	0	88	40687	249278
Zedd	Funny	9	0	90	32546	248609
RAP VIỆT	Đây Là Rap Việt	6	0	71	49468	248430
RAP VIỆT	Bao Giờ Lấy Vợ	3	0	173	87512	248108
Billie Eilish	you should see me in a crown	19	0	55	17471	248077
Ngọt	Chuyển KÊNH (Sản Phẩm Này Không Phải Là Thuốc)	9	0	27	44843	246460
vaultboy	everything sucks	8	0	117	37444	246204
K-ICM	Một Chiều Mưa Bất Ngờ	2	0	13	152481	244683
Phùng Khánh Linh	Như Hoa Mùa Xuân	2	0	141	123318	243608
Vũ Cát Tường	Ngày Này, Người Con Gái Này	1	0	104	241953	241953
Tiên Tiên	Khi ông mặt trời khóc	3	0	66	107873	241098
BTS	Dynamite - Acoustic Remix	6	0	34	67776	241096
iKON	KILLING ME	23	1	2	33975	240840
K-391	Ignite	29	0	40	13386	240513
BTS	dimple	9	0	31	69518	240233
Taylor Swift	Bejeweled	2	0	35	153281	239770
Vũ Thịnh	Đợi đến tháng 13	2	0	197	124102	239602
Wren Evans	Thói Quen	4	0	132	69552	239129
Bích Phương	Chị Ngả Em Nâng	16	2	6	33168	238731
Hiya	Em Có Nhớ Anh Không ?	2	0	197	122514	238067
RAP VIỆT	SÀI GÒN CÓ EM	5	0	89	53640	237642
Wren Evans	Cứu Lấy Âm Nhạc	1	0	112	236900	236900
Hoàng Tôn	Dành Cho Em	2	0	187	118692	236872
Vũ.	Nhường Lại Em	4	0	92	71794	236650
RealestK	Love Me	4	0	75	70316	236195
JISOO	Hugs & Kisses	1	0	109	235267	235267
Naughty Boy	La La La	7	0	121	43213	234739
Charlie Puth	Patient	31	0	15	18217	233174
Joji	SLOW DANCING IN THE DARK	10	0	82	66880	233109
Girls' Generation	FOREVER 1	4	0	78	81076	232340
Sơn Tùng M-TP	Chúng Ta Không Thuộc Về Nhau (Sky Tour 2019)	5	0	21	68912	231928
BTS	All Night (BTS World Original Soundtrack) [Pt. 3]	7	1	7	76907	231638
The Weeknd	I Was Never There	6	0	110	47373	230970
RAP VIỆT	Nhà Văn Vở	2	0	130	120914	230957
David Guetta	Like I Do	19	0	17	33703	230557
Shawn Mendes	Mercy	23	0	137	14747	230483
RAP VIỆT	Miễn Chê	2	0	134	115611	229748
5 Seconds of Summer	Easier	12	0	42	27236	229626
Marshmello	One Thing Right	8	0	29	42292	229510
Thịnh Suy	Thanh	4	0	54	84073	228827
Taylor Swift	Karma	2	0	37	144517	228616
j-hope	i wonder...	1	0	66	228405	228405
K/DA	POP/STARS	14	3	4	41056	228081
BTS	Skit	3	0	20	125762	227683
Phùng Khánh Linh	quý cô say xỉn (secret sunday)	3	0	75	93850	227218
Ai Higuchi	Akuma no Ko	6	0	117	47940	227128
Drake	God's Plan	26	0	17	26459	227031
John Legend	All of Me	37	0	137	9238	226453
2pillz	tình wá akk	2	0	111	122421	226267
Billie Eilish	Lost Cause	3	0	29	117845	225995
Mesto	Leyla	12	0	80	23874	225836
Tăng Phúc	Đừng Chờ Anh Nữa	7	0	167	34211	225652
Camila Cabello	Easy	10	0	63	31947	225373
RAP VIỆT	Say Bye!	2	0	141	117051	225110
NEIKED	Better Days (NEIKED x Mae Muller x Polo G)	6	0	123	42751	224203
Maroon 5	Nobody's Love	5	0	29	77895	223540
RAP VIỆT	Có Nhiều Cái Khó Nói	2	0	135	113944	222741
Mỹ Tâm	Muộn Màng Là Từ Lúc	11	0	166	22623	222659
Lê Thiện Hiếu	Ooh Just You	7	0	129	38099	222647
Camila Cabello	Bam Bam	5	0	90	62907	222457
24k.Right	Sinh Nhật Của Xinh Nhất	2	0	183	114920	222385
aespa	Black Mamba	6	0	80	54181	222237
RAP VIỆT	Việt Nam Muôn Đời	2	0	139	110978	221806
RAP VIỆT	Khum Hề Giả Trân	2	0	143	115251	221451
Rudimental	These Days	17	0	16	31672	221091
Taylor Swift	But Daddy I Love Him	1	0	73	220849	220849
benny blanco	I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)	10	0	12	36067	219808
Văn Mai Hương	Cơn Mưa Rào	2	0	190	110222	219657
Low G	Tiếp Đất	2	0	93	132493	218773
RAP VIỆT	Mặc Sự Đời!	5	0	58	54759	218738
Sam Smith	I'm Not The Only One	36	0	113	12286	218610
JEON SOMI	XOXO	4	0	45	81076	218076
Da LAB	Thở	6	0	117	41272	217968
Imagine Dragons	Follow You	4	0	58	68253	217849
Emcee L (Da LAB)	Mặt Trời Khóc	4	0	98	65612	217186
Hoàng Dũng	Nep Vao Anh Va Nghe Anh Hat	21	0	69	14551	217167
Justin Bieber	As I Am	4	0	54	73480	216263
Sơn Tùng M-TP	Lạc Trôi (Sky Tour 2019)	5	0	30	62757	215878
EVERGLOW	Adios	10	0	50	37312	215763
24k.Right	Vẫn	2	0	129	116950	215683
James Arthur	Rewrite The Stars	21	0	46	12025	215474
Ariana Grande	breathin	20	1	2	30655	215165
16 Typh	Walk On Da Street	6	0	122	40484	214987
Obito	Soju Love	4	0	99	61472	214951
Thành Đạt	Ngày Mai Người Ta Lấy Chồng	2	0	126	114710	214708
TOMORROW X TOGETHER	Sugar Rush Ride	2	0	50	133157	214704
Bằng Kiều	Cơn Mơ Băng Giá	6	0	154	45276	214601
Chillies	Nếu Ngày Mai Không Đến	10	0	110	28673	213443
Internet Money	Lemonade	8	0	125	30659	213249
RAP VIỆT	Ai Cũng Có Thể Là Quán Quân	2	0	144	106806	213029
Sơn Tùng M-TP	Em Của Ngày Hôm Qua (Sky Tour 2019)	5	0	44	53146	212965
Cardi B	Please Me	10	0	13	31869	212354
Hiền Hồ	Khóc Ở Trong Club	2	0	161	106520	212304
Taylor Swift	Sweet Nothing	2	0	45	138444	211716
The Weeknd	Take My Breath	4	0	46	75148	211558
JAEHYUN	Try Again	5	0	105	48220	211410
GREY D	vaicaunoicokhiennguoithaydoi - Acoustic	4	0	107	59590	211222
SOOBIN	Beautiful Monster	2	0	49	117195	211004
RAP VIỆT	Thành Thật	4	0	49	69374	210938
Taylor Swift	Florida!!!	1	0	79	210836	210836
SEVENTEEN	HOT	4	0	63	76559	210763
Tân Trần	Bỏ Em Vào Balo	6	0	76	55027	209982
TREASURE	JIKJIN	5	0	121	50365	209529
Taylor Swift	Labyrinth	2	0	44	138605	209488
Katy Perry	Daisies	6	0	55	43246	208954
Sam Smith	Diamonds	7	0	70	38928	208385
RAP VIỆT	Mẹ Biết Mẹ Buồn	2	0	151	108445	208131
Katy Perry	Small Talk	10	0	40	36150	208042
Skylar Grey	Everything I Need - Film Version	15	0	56	17041	207946
Trung Quân	Buồn Không Thể Buông	4	0	175	52778	207192
Taylor Swift	You’re Losing Me (From The Vault)	1	0	70	207177	207177
RAP VIỆT	Kéo Em Về Làm Vợ	2	0	142	109207	207150
tlinh	Không Cần Phải Nói Nhiều	3	0	52	91600	207130
(G)I-DLE	Oh my god	6	0	30	59752	206722
Bích Phương	nằm ngủ emru	3	0	35	93495	206049
Lewis Capaldi	Before You Go	11	0	102	23277	205617
YanBi	Giấc Mơ	17	0	14	22793	205466
Low G	Không Thích	4	0	77	68135	205311
Kendrick Lamar	Not Like Us	1	0	136	205114	205114
Alan Walker	Lost Control	22	0	53	11687	204895
BTS	Outro: Tear	18	0	13	49060	203706
Ngọt	06 Quen Lắm	1	0	98	203366	203366
Ngọt	04 Thắp Hương 05 Hoá Vàng	1	0	82	203319	203319
Wren Evans	Trao	3	0	139	75152	203317
Bebe Rexha	Last Hurrah	12	0	29	25330	202893
JISOO	TEARS	1	0	139	202652	202652
David Guetta	Don't Leave Me Alone	20	0	19	17721	202393
Ed Sheeran	Merry Christmas	4	0	101	55584	202132
Bruno Major	Nothing	5	0	119	44077	201971
WEAN	Chương 2 Của Tương Lai	6	0	93	44439	201489
Martin Garrix	High On Life	22	0	18	19435	201433
WHEE!	Bất Chấp	3	0	165	74559	201281
Lee À	1/2	1	0	144	201137	201137
Billie Eilish	NDA	4	0	39	89889	201098
Lil Dicky	Earth	9	0	21	35499	200767
TWICE	CRY FOR ME	5	0	56	64241	200456
Katy Perry	Harleys In Hawaii	7	0	25	49512	200081
BTS	Danger	3	0	42	80384	200031
RAP VIỆT	Nhạc Cho Mẹ	2	0	152	103950	199937
Agust D	What do you think?	3	0	31	118582	199597
Red Velvet	Bad Boy	26	0	41	20778	199539
Lyly	24h	4	0	157	51245	198675
Lady Gaga	Bloody Mary	3	0	143	74306	198600
Avin Lu	Nắng Thủy Tinh	3	0	80	74602	198262
Tuấn Hưng	Tìm Lại Bầu Trời	20	0	19	29867	197727
Đen	Vị Nhà	1	0	130	197713	197713
BTS	Love Maze	14	2	8	63027	197596
Uyên Linh	Nếu Có Một Ngày	16	0	12	21682	196827
Bích Phương	Em Chào Tết	6	0	102	61500	196796
Olivia Rodrigo	enough for you	2	0	36	120097	196772
RAP VIỆT	NGHE - NÓI	4	0	64	70123	196741
Jin	Close to You	1	0	133	196406	196406
Carolina Gaitán - La Gaita	We Don't Talk About Bruno	5	0	126	43926	195996
